,Open,High,Low,Close,TotalVolume
2016-01-04,359.5,360.0,350.5,352.0,170742
2016-01-05,352.75,356.0,351.75,353.5,131944
2016-01-06,353.5,354.75,350.25,353.25,124626
2016-01-07,353.25,354.25,348.5,353.0,137217
2016-01-08,353.0,357.75,352.75,357.25,166509
2016-01-11,357.0,357.25,349.5,351.75,160600
2016-01-12,352.0,363.75,349.5,355.5,279985
2016-01-13,356.0,360.75,355.5,358.0,199960
2016-01-14,357.75,360.25,355.5,357.75,151878
2016-01-15,358.0,363.5,356.0,363.25,169957
2016-01-19,364.0,369.5,364.0,367.75,204664
2016-01-20,367.5,369.25,365.25,369.25,180893
2016-01-21,368.75,372.0,365.5,366.25,231438
2016-01-22,366.75,371.5,366.5,370.0,154633
2016-01-25,370.0,372.5,368.0,369.5,141452
2016-01-26,369.25,372.0,367.0,368.75,156481
2016-01-27,368.75,371.0,367.5,369.0,165294
2016-01-28,368.75,370.25,365.0,365.25,166081
2016-01-29,365.25,372.5,365.0,371.5,201067
2016-02-01,371.0,371.75,367.75,371.5,129482
2016-02-02,371.25,373.75,369.0,372.75,190794
2016-02-03,372.0,373.25,370.25,371.0,143067
2016-02-04,371.0,373.5,368.0,368.75,169624
2016-02-05,369.0,369.5,365.5,365.5,211509
2016-02-08,366.0,367.0,361.5,362.5,205741
2016-02-09,362.25,362.75,359.25,361.25,240978
2016-02-10,361.0,361.75,359.25,360.25,129184
2016-02-11,360.0,363.25,358.5,361.0,200743
2016-02-12,361.0,362.0,358.25,359.0,169831
2016-02-16,359.75,363.5,359.0,362.75,188054
2016-02-17,362.75,367.5,362.0,367.25,146548
2016-02-18,367.0,368.0,365.25,365.75,214189
2016-02-19,365.25,367.5,364.75,366.5,178425
2016-02-22,366.5,369.25,366.25,367.75,189448
2016-02-23,367.0,367.25,361.5,362.0,103274
2016-02-24,366.5,367.75,363.75,364.25,214472
2016-02-25,364.5,366.5,360.0,360.75,215581
