,Open,High,Low,Close,TotalVolume
2016-01-10,359.5,360.0,348.5,357.25,731038
2016-01-17,357.0,363.75,349.5,363.25,962380
2016-01-24,364.0,372.0,364.0,370.0,771628
2016-01-31,370.0,372.5,365.0,371.5,830375
2016-02-07,371.0,373.75,365.5,365.5,844476
2016-02-14,366.0,367.0,358.25,359.0,946477
2016-02-21,359.75,368.0,359.0,366.5,727216
2016-02-28,366.5,369.25,357.5,360.25,915521
2016-03-06,360.0,361.75,354.5,358.75,747025
2016-03-13,361.0,365.25,356.0,364.25,769439
2016-03-20,366.0,372.0,365.5,366.75,620126
2016-03-27,366.5,371.75,365.75,369.75,485978
2016-04-03,369.5,374.0,347.25,353.5,1212115
2016-04-10,353.75,362.75,350.75,361.75,980573
2016-04-17,362.0,380.5,356.0,377.25,1478637
2016-04-24,375.25,407.25,374.5,374.75,1410592
2016-05-01,374.75,395.25,372.0,392.0,1016605
2016-05-08,390.25,395.0,371.25,377.0,843546
2016-05-15,378.25,391.25,368.0,390.75,908718
2016-05-22,390.25,400.5,385.5,394.75,897761
2016-05-29,394.0,413.5,391.0,413.25,819610
2016-06-05,412.5,419.5,401.0,419.0,749264
2016-06-12,419.75,439.25,419.25,424.0,1279502
2016-06-19,427.5,439.0,420.5,437.75,1023632
2016-06-26,435.5,435.75,373.5,385.25,905162
2016-07-03,384.25,398.25,358.75,360.25,592985
2016-07-10,356.25,356.5,339.0,355.5,422521
2016-07-17,360.0,373.0,342.5,352.25,508864
2016-07-24,352.25,357.5,326.75,336.5,421229
2016-07-31,335.0,338.5,328.75,333.75,378370
2016-08-07,332.5,333.75,319.5,323.75,434453
2016-08-14,324.25,328.0,312.0,323.0,586265
2016-08-21,321.25,344.25,321.0,344.0,526072
2016-08-28,343.25,344.0,324.5,325.25,745967
2016-09-04,325.0,329.75,314.75,328.75,1002053
2016-09-11,327.75,342.0,323.25,340.0,553501
2016-09-18,340.5,343.25,326.5,336.25,733331
2016-09-25,337.25,342.25,332.25,335.25,587987
2016-10-02,334.0,337.5,325.0,336.25,731479
2016-10-09,336.25,349.25,335.25,339.75,823878
2016-10-16,339.5,358.75,336.5,353.5,908431
2016-10-23,353.0,359.25,349.25,352.25,685634
2016-10-30,351.5,358.5,346.25,355.25,698587
2016-11-06,355.0,358.0,344.25,348.0,788341
2016-11-13,348.0,356.5,339.0,340.75,1217380
2016-11-20,340.5,346.75,335.5,346.0,786339
2016-11-27,345.25,351.75,344.75,349.0,603878
2016-12-04,349.25,357.75,341.75,347.0,884634
2016-12-11,347.0,364.0,347.0,358.75,787108
2016-12-18,359.0,364.75,353.5,357.25,556653
2016-12-25,356.0,356.75,345.5,347.0,429954
2017-01-01,346.5,356.0,346.25,351.0,404921
2017-01-08,352.0,362.75,351.5,358.75,642938
2017-01-15,359.0,360.75,352.0,358.75,869002
2017-01-22,359.0,370.0,358.5,369.75,838827
2017-01-29,369.5,371.0,360.5,363.0,658543
2017-02-05,361.5,369.75,355.75,364.5,770357
